id,Holes,Solidity,Eccentricity,Circularity,InvExtent,RadialVariance,Hu1,Label
77,1,0.614035,0.675044,0.370961,0.410597,0.342191,0.317431,6
78,1,0.587879,0.612767,0.399519,0.372025,0.31718,0.343632,4
79,1,0.712121,0.696273,0.584738,0.499318,0.346169,0.26305,4
80,1,0.554054,0.673212,0.340976,0.351986,0.332333,0.370075,6
81,1,0.784404,0.707668,0.653431,0.590269,0.364241,0.223699,4
82,1,0.658291,0.661261,0.512198,0.44973,0.339536,0.288237,4
83,0,0.700348,0.68942,0.278223,0.51147,0.394368,0.256381,5
84,0,0.572464,0.827726,0.240128,0.423691,0.411734,0.344605,2
85,1,0.733068,0.683445,0.591169,0.549657,0.359697,0.237864,4
86,1,0.725962,0.68052,0.615829,0.511225,0.350207,0.255326,4
87,0,0.752066,0.94657,0.563733,0.630322,0.49325,0.337606,1
88,0,0.589744,0.798416,0.248152,0.423131,0.402515,0.33322,2
89,1,0.710744,0.520119,0.454444,0.528383,0.353904,0.23855,4
90,0,0.762712,0.952648,0.518184,0.622326,0.499861,0.358964,1
91,0,0.457265,0.857204,0.205827,0.308541,0.373986,0.49611,2
92,0,0.824561,0.954287,0.515328,0.669812,0.500437,0.338302,1
93,0,0.638767,0.846831,0.306965,0.446722,0.392662,0.336316,3
94,1,0.770408,0.698064,0.685229,0.56678,0.378449,0.231859,4
95,0,0.55,0.840003,0.245709,0.367842,0.38888,0.403964,3
96,0,0.691489,0.971665,0.421008,0.570213,0.512474,0.487071,1
97,1,0.664975,0.699254,0.436334,0.448773,0.361419,0.293103,4
98,0,0.663522,0.775194,0.269711,0.469928,0.348493,0.293762,2
99,0,0.636,0.789804,0.254962,0.431642,0.350566,0.323834,5
100,0,0.726496,0.965107,0.476157,0.589119,0.490832,0.430971,1
101,0,0.578571,0.815204,0.201989,0.411319,0.382528,0.349333,5
102,0,0.682609,0.807737,0.282487,0.465816,0.370791,0.305628,5
103,1,0.647059,0.833293,0.272629,0.459839,0.365445,0.320104,6
104,0,0.752294,0.958891,0.490532,0.607749,0.489079,0.389544,1
105,0,0.580392,0.799055,0.234039,0.400298,0.364502,0.352429,3
106,0,0.541667,0.845888,0.243694,0.36586,0.399286,0.40998,3
107,0,0.479508,0.841711,0.215609,0.321546,0.371496,0.463521,2
108,0,0.613043,0.81589,0.226098,0.409726,0.359901,0.350836,5
109,0,0.485597,0.83894,0.215423,0.323608,0.379038,0.458577,2
110,1,0.628319,0.687943,0.370898,0.413168,0.357548,0.317041,6
111,0,0.535865,0.809553,0.202066,0.357293,0.34639,0.399355,5
112,0,0.609091,0.828082,0.260964,0.417703,0.370536,0.349541,5
113,0,0.68,0.972742,0.355884,0.587348,0.5203,0.481109,1
114,1,0.744186,0.66847,0.619234,0.540114,0.345838,0.240608,4
115,1,0.702929,0.590762,0.565802,0.537146,0.369501,0.2371,4
116,0,0.57971,0.860952,0.303423,0.418939,0.382458,0.368126,2
117,1,0.586667,0.824523,0.320798,0.451111,0.472234,0.322303,4
118,1,0.723005,0.707665,0.61953,0.525403,0.349703,0.251328,4
119,0,0.561983,0.782834,0.264148,0.4064,0.433566,0.341626,3
120,0,0.541126,0.813446,0.191327,0.350635,0.345692,0.4088,5
121,0,0.548246,0.822517,0.201684,0.363159,0.364075,0.399148,5
122,1,0.653386,0.748901,0.375658,0.442614,0.343704,0.305642,6
123,0,0.72973,0.961729,0.50308,0.599449,0.488131,0.407025,1
124,0,0.861111,0.984988,0.451031,0.735246,0.547076,0.505315,1
125,1,0.72093,0.724991,0.413497,0.505726,0.367965,0.263655,6
126,0,0.622642,0.755844,0.219648,0.43807,0.3455,0.310305,5
127,0,0.764706,0.962377,0.536062,0.61603,0.493518,0.398391,1
128,0,0.693182,0.977409,0.414305,0.583265,0.507048,0.526899,1
129,0,0.736111,0.959816,0.428713,0.587302,0.47879,0.407505,1
130,1,0.573684,0.724182,0.425564,0.383983,0.34237,0.346746,4
131,0,0.695652,0.817094,0.275821,0.496598,0.380442,0.289998,5
132,0,0.55144,0.784074,0.189808,0.359184,0.340262,0.387108,5
133,0,0.759615,0.963943,0.482812,0.599033,0.499536,0.417732,1
134,0,0.575758,0.824952,0.216703,0.387516,0.362124,0.375261,5
135,0,0.562212,0.800393,0.210053,0.36467,0.342156,0.387273,5
136,0,0.514286,0.830093,0.193479,0.333536,0.348584,0.438992,5
137,1,0.695817,0.889323,0.340633,0.489789,0.386974,0.336496,6
138,0,0.673077,0.793962,0.265287,0.494869,0.396696,0.283566,5
139,0,0.566964,0.832087,0.24876,0.384022,0.371312,0.382389,3
140,1,0.673387,0.736017,0.377792,0.455117,0.35469,0.294826,6
141,0,0.571429,0.87189,0.259467,0.38974,0.391488,0.404739,3
142,1,0.663317,0.66438,0.519419,0.46916,0.344115,0.276544,4
143,1,0.558685,0.71199,0.344287,0.351362,0.338729,0.376825,6
144,0,0.536697,0.814375,0.196128,0.350037,0.383733,0.409866,5
145,1,0.706731,0.655156,0.555312,0.4967,0.348395,0.260484,4
146,0,0.790909,0.959879,0.559508,0.652069,0.50227,0.366774,1
147,0,0.5,0.818765,0.175848,0.318259,0.376444,0.453195,5
148,0,0.62,0.812188,0.277737,0.439374,0.387525,0.325739,3
149,0,0.638767,0.851187,0.31668,0.456656,0.405001,0.331448,3
150,1,0.6625,0.697054,0.401968,0.444476,0.345813,0.295886,6
151,1,0.673387,0.716442,0.41246,0.466848,0.353139,0.284298,6
152,0,0.676113,0.788934,0.320791,0.486342,0.388397,0.287106,3
153,1,0.721569,0.70845,0.443058,0.504105,0.358025,0.262267,6
154,0,0.732673,0.966056,0.46728,0.581147,0.495001,0.44184,1
155,0,0.511848,0.823437,0.200468,0.32241,0.353259,0.450096,5
156,0,0.655738,0.77556,0.258882,0.448617,0.348766,0.307597,5
157,1,0.6,0.680733,0.488957,0.401268,0.321357,0.325261,4
158,0,0.732558,0.971,0.451353,0.578333,0.505278,0.475215,1
159,0,0.589552,0.828538,0.283953,0.426441,0.384783,0.342759,2
160,0,0.568182,0.78001,0.207917,0.387874,0.347892,0.357221,5
161,1,0.742358,0.690704,0.607381,0.535842,0.356643,0.244661,4
162,0,0.549618,0.821954,0.267609,0.374272,0.357983,0.387148,2
163,0,0.817647,0.885805,0.648995,0.679391,0.456636,0.23973,1
164,1,0.589172,0.73011,0.35104,0.461058,0.375744,0.290108,4
165,1,0.619658,0.72473,0.362983,0.410048,0.347838,0.325084,6
166,1,0.714286,0.781664,0.397422,0.488154,0.362605,0.284234,6
167,0,0.618644,0.857163,0.272591,0.423575,0.37882,0.361342,3
168,0,0.626984,0.818393,0.300176,0.446957,0.403786,0.322637,2
169,0,0.523148,0.832022,0.198464,0.332502,0.364843,0.441639,5
170,1,0.627193,0.717315,0.394869,0.414864,0.338631,0.320022,6
171,0,0.70229,0.941537,0.464261,0.532277,0.490094,0.386269,1
172,1,0.70614,0.66541,0.55388,0.510996,0.354063,0.254116,4
173,1,0.580189,0.737897,0.346834,0.36838,0.338966,0.364535,6
174,2,0.753582,0.813134,0.584411,0.560279,0.339283,0.255942,6
175,1,0.608295,0.710031,0.365122,0.383989,0.336844,0.344497,6
176,0,0.464435,0.845196,0.18038,0.308787,0.393137,0.485387,2
177,0,0.616327,0.835246,0.243501,0.423488,0.366209,0.348444,5
178,1,0.603175,0.719832,0.448208,0.393835,0.351367,0.337316,4
179,0,0.531008,0.83818,0.249112,0.370391,0.374558,0.400206,2
